Johnson Su[F1],Johnson Sb[F2],Johnson Sb[F3],Johnson Su[F4]
-2.0373474,-1.154022272,-4.320151276,-2.476504831
-1.92145414,-1.062268462,-4.268274425,-2.309883061
-1.895174684,-0.931588639,-4.272419859,-2.23162482
-2.067626511,-1.062931465,-4.367004528,-2.574409549
-2.488621842,-1.620712154,-4.601052244,-2.843229894
-2.197832242,-1.118121798,-4.465241534,-2.682411623
-2.43296738,-1.249974066,-4.594330313,-2.857455307
-1.947502116,-1.140417441,-4.24610175,-2.559121555
-2.434898915,-1.321153076,-4.568445361,-2.894467915
-2.074528818,-1.068576945,-4.357310847,-2.692352973
-2.646637865,-1.281751355,-4.737899099,-2.900700995
-1.747680923,-1.122808083,-4.068708654,-2.524224883
-2.574511303,-1.324364494,-4.651772451,-3.011071437
-1.796990358,-0.976018509,-4.13458115,-2.410753349
-2.808866303,-1.302413086,-4.823431731,-3.056579403
-2.348810659,-1.198302159,-4.499540448,-2.926533378
-1.183206083,-0.748359381,-3.632235935,-1.864221389
-1.692187718,-1.008946822,-4.041204816,-2.418797281
-2.395464017,-0.943338819,-4.638694493,-2.780690042
-1.857992434,-0.681311597,-4.311886512,-2.426757228
-0.786807248,-0.284006505,-3.45824488,-0.662007561
-1.253208705,-0.47371701,-3.843059024,-1.43815798
-1.490769978,-0.46058282,-4.118915598,-1.742904876
-2.023864304,-0.987453681,-4.407886026,-2.028776027
-1.879719,-0.916412114,-4.28639161,-2.00878635
-1.538377715,-0.953271131,-4.006225221,-1.559922745
-1.550784658,-0.922163006,-4.007200158,-1.696176788
-1.839400887,-0.806277013,-4.268510885,-1.975134663
-1.730243452,-0.92222017,-4.157428247,-1.872294861
-1.701145659,-0.703723624,-4.196281538,-1.787415417
-1.584348022,-0.749157589,-4.047458751,-1.828304613
-1.996480588,-0.955585701,-4.352971988,-2.245020165
-1.398114925,-0.805922228,-3.887727979,-1.569831832
-2.259166639,-0.91680232,-4.535609307,-2.68687728
-1.558289838,-0.700542222,-4.008256159,-2.049427124
-1.773300544,-0.762465107,-4.182591512,-2.300076814
-1.319123462,-0.593909182,-3.854144079,-1.682597609
