F1,F2,F3,F4
3.8439,0.2312,3.412,0.3257
3.8445,0.2302,3.4106,0.3259
3.8439,0.2303,3.4106,0.3259
3.8439,0.2306,3.4111,0.3259
3.8453,0.2308,3.4065,0.3315
3.8441,0.2309,3.4133,0.3254
3.8444,0.2306,3.4134,0.3249
3.8447,0.2309,3.4137,0.3251
3.845,0.2308,3.4137,0.3251
3.8444,0.2306,3.4133,0.3254
3.845,0.2308,3.414,0.3249
3.845,0.2308,3.4077,0.3189
3.8447,0.2312,3.4069,0.3186
3.845,0.2311,3.4073,0.3184
3.8459,0.2239,3.4058,0.3313
3.8453,0.2236,3.4061,0.331
3.8459,0.2232,3.4061,0.3316
3.8462,0.2235,3.4061,0.3316
3.8453,0.2233,3.4058,0.3313
3.8456,0.2233,3.4053,0.3312
3.8453,0.2236,3.4046,0.3317
3.8453,0.2236,3.405,0.3315
3.8459,0.2232,3.4057,0.3318
3.8526,0.2226,3.4055,0.3315
3.8472,0.2306,3.3998,0.3248
3.854,0.2299,3.3995,0.325
3.8466,0.2306,3.3998,0.3248
3.854,0.2299,3.4001,0.325
3.8533,0.2296,3.3999,0.3242
3.8533,0.2299,3.3993,0.3247
3.8545,0.2292,3.3997,0.3258
3.8543,0.2305,3.4068,0.3316
3.8552,0.2304,3.4062,0.3316
3.8534,0.2305,3.4064,0.3324
3.8473,0.2251,3.4088,0.3307
3.8473,0.2242,3.4085,0.3309
3.8476,0.2242,3.4086,0.3304
3.8482,0.2244,3.4082,0.3312
3.8479,0.2244,3.4086,0.3304
3.8482,0.2244,3.4084,0.3315
3.8476,0.2245,3.4085,0.3309
3.847,0.2245,3.4161,0.3232
3.847,0.2242,3.4163,0.3241
3.847,0.2248,3.4157,0.324
3.8494,0.2308,3.4141,0.3354
3.8494,0.2308,3.4078,0.3299
3.8485,0.2306,3.4076,0.3291
3.8488,0.2309,3.407,0.3296
3.8491,0.2308,3.407,0.3296
3.8491,0.2305,3.4075,0.3296
3.8491,0.2305,3.407,0.329
3.8488,0.2302,3.4067,0.3293
3.8491,0.2302,3.4,0.3227
3.8491,0.2302,3.3997,0.323
3.8497,0.2235,3.4144,0.3378
3.8497,0.2235,3.4141,0.338
3.8497,0.2235,3.4145,0.3372
3.8491,0.2239,3.4217,0.3308
3.8488,0.2233,3.4214,0.3311
3.8491,0.2236,3.421,0.3319
3.8491,0.2236,3.4214,0.3311
3.8488,0.223,3.4215,0.3319
3.8491,0.2236,3.4066,0.3311
3.8494,0.2238,3.4058,0.3442
3.8491,0.2236,3.4131,0.3374
3.8505,0.2236,3.4249,0.3322
3.8502,0.2236,3.4244,0.3321
3.8505,0.2233,3.4247,0.3319
3.8502,0.2233,3.4244,0.3316
3.8511,0.2235,3.4242,0.3313
3.8502,0.2236,3.4241,0.3318
3.8508,0.2238,3.4241,0.3318
3.8499,0.2227,3.4386,0.3326
3.8502,0.2227,3.4398,0.3322
3.857,0.2223,3.4392,0.3327
3.8516,0.2231,3.4103,0.3291
3.844,0.2242,3.409,0.3282
3.8446,0.2241,3.4103,0.3291
3.8513,0.2238,3.4103,0.3291
3.844,0.2239,3.4102,0.3283
3.851,0.2232,3.409,0.3287
3.851,0.2235,3.4095,0.3288
3.8513,0.2238,3.3954,0.3283
3.8516,0.2234,3.396,0.3283
3.852,0.224,3.3948,0.3288
3.8604,0.2228,3.4132,0.3309
3.8604,0.2228,3.4121,0.3308
3.8598,0.2229,3.4113,0.3305
3.861,0.2231,3.4121,0.3308
3.8598,0.2223,3.4112,0.331
3.8601,0.2229,3.4115,0.3308
3.8595,0.2232,3.4122,0.3303
3.8598,0.2226,3.411,0.3307
3.8589,0.2226,3.4121,0.3308
3.8589,0.2223,3.4121,0.3308
3.8617,0.2222,3.4138,0.3311
3.862,0.2222,3.4149,0.3312
3.8617,0.2222,3.4149,0.3312
3.8623,0.2218,3.4144,0.3311
3.862,0.2212,3.4143,0.3317
3.8617,0.2219,3.4144,0.3311
3.8617,0.2225,3.4149,0.3312
3.862,0.2215,3.4138,0.3311
3.862,0.2219,3.4144,0.3311
3.8623,0.2218,3.4144,0.3311
3.8558,0.2238,3.4142,0.332
3.8555,0.2232,3.4141,0.3326
3.8552,0.2229,3.414,0.3331
3.8555,0.2235,3.413,0.3325
3.8552,0.2232,3.4143,0.3334
3.8555,0.2235,3.4137,0.3334
3.8552,0.2232,3.4138,0.3328
3.854,0.2239,3.4203,0.3269
3.8555,0.2232,3.4128,0.3336
3.8543,0.2239,3.4133,0.3342
3.8567,0.2232,3.4078,0.3391
3.857,0.2235,3.4154,0.3313
3.8573,0.2232,3.4152,0.3324
3.8567,0.2232,3.4152,0.3324
3.857,0.2235,3.4155,0.3322
3.857,0.2232,3.4159,0.3319
3.8576,0.2235,3.4155,0.3327
3.8567,0.2238,3.4228,0.3394
3.8567,0.2235,3.4219,0.3396
3.857,0.2235,3.4216,0.3398
3.8577,0.2238,3.4262,0.3231
3.8583,0.2235,3.4273,0.3237
3.8571,0.2233,3.4257,0.323
3.8577,0.2235,3.4265,0.3234
3.8642,0.2225,3.4252,0.3225
3.8559,0.2236,3.425,0.3235
3.8568,0.223,3.4242,0.3232
3.8571,0.223,3.4176,0.3169
3.8645,0.2225,3.4173,0.3153
3.8639,0.2213,3.4183,0.3164
3.8651,0.2219,3.4185,0.3173
3.8576,0.2231,3.4254,0.3242
3.865,0.2217,3.4309,0.3318
3.8668,0.2219,3.4251,0.3245
3.8647,0.2217,3.4247,0.3247
3.8635,0.2221,3.4257,0.324
3.8711,0.221,3.4305,0.3307
3.8644,0.2224,3.4296,0.3309
3.8571,0.2213,3.429,0.3295
3.8585,0.2287,3.4278,0.3274
3.8616,0.2195,3.4282,0.3291
3.8656,0.222,3.4203,0.3298
3.8644,0.2233,3.426,0.3359
3.8655,0.2205,3.4251,0.338
3.8659,0.2232,3.4218,0.3253
3.8598,0.2224,3.4261,0.3353
3.8659,0.2226,3.425,0.3371
3.8652,0.2212,3.4273,0.3387
3.8634,0.2213,3.4243,0.3253
3.8652,0.2202,3.4307,0.3289
3.8607,0.2221,3.4215,0.3193
3.8614,0.2213,3.4215,0.3315
3.8556,0.2193,3.4244,0.3326
3.8562,0.2217,3.4209,0.3295
3.8587,0.2224,3.4211,0.3356
3.8617,0.221,3.4256,0.3346
3.8545,0.2236,3.4214,0.332
3.8587,0.2224,3.4232,0.3355
3.852,0.2232,3.4092,0.3347
3.8626,0.2225,3.4008,0.3299
3.862,0.2216,3.4115,0.3368
3.8591,0.2237,3.4235,0.3307
3.8654,0.2218,3.4198,0.3326
3.8633,0.2213,3.4221,0.3303
3.8478,0.2223,3.4226,0.3309
3.8642,0.2228,3.4193,0.3262
3.8651,0.2218,3.4295,0.3222
3.8642,0.2231,3.425,0.3325
3.8459,0.2236,3.4303,0.3212
3.8553,0.2236,3.4195,0.3246
3.8559,0.2239,3.424,0.3313
3.8645,0.2232,3.4304,0.3397
3.865,0.2211,3.4382,0.3333
3.8648,0.2232,3.4273,0.3397
3.8653,0.2226,3.4401,0.3343
3.877,0.2224,3.4359,0.3293
3.8651,0.2232,3.437,0.3318
3.8635,0.2233,3.4311,0.3387
3.8734,0.2227,3.4322,0.3375
3.8718,0.2194,3.4384,0.3341
3.8714,0.221,3.4353,0.3317
3.8779,0.2224,3.4288,0.3351
3.8735,0.2197,3.4315,0.3364
3.8641,0.2218,3.4287,0.3318
3.8641,0.2212,3.43,0.3346
3.8699,0.2211,3.4274,0.3386
3.8745,0.222,3.4278,0.3402
3.8526,0.2232,3.4258,0.336
3.8693,0.2224,3.4356,0.3256
3.8757,0.2223,3.4371,0.3312
