Johnson Su[F1],Johnson Sb[F2],Johnson Sb[F3],Johnson Su[F4]
-0.023320326,-0.635780924,-2.35516905,-0.429778553
-0.699916064,-1.115768953,-3.222751634,-0.401990612
-0.1444862,-0.980375745,-2.554173691,-0.005493034
-0.168568618,-0.834962478,-2.498805579,-0.458991338
-0.156799952,-0.78543526,-2.489247869,-0.524282373
-0.073949229,-0.738514479,-2.390030173,-0.383933584
0.1715436018,-0.676158661,-2.078757193,-0.121290988
-0.165851481,-0.734512431,-2.505756031,-0.493370108
-0.921561682,-1.210380719,-3.312194567,-0.330415778
0.0958453166,-0.313217216,-2.40545952,0.1555560758
-0.170416164,-0.503275799,-2.638895655,-0.263404335
-0.307973088,-0.526014331,-2.79917752,-0.361623329
-0.580381483,-0.916558785,-3.060228036,-0.341211691
-0.03705209,-0.84297124,-2.435612068,0.0997339955
-0.038045807,-0.714898065,-2.444521254,0.1239046693
0.2655773349,-0.606796888,-2.091625944,0.3335828916
0.0705242736,-0.67475724,-2.268113751,-0.002918213
0.2870392118,-0.610281711,-2.04095899,0.2946813909
0.6457115719,-0.472887669,-1.509485474,0.4774164599
0.1265235383,-0.624883678,-2.217403045,0.1290025895
-0.133513725,-0.679121601,-2.495749133,-0.304693844
0.0371225316,-0.617582528,-2.302571561,-0.088485265
0.1925101042,-0.548782644,-2.13645517,0.0984206167
0.762654594,-0.422884626,-1.325160541,0.5027688699
-0.345160033,-0.606328002,-2.740448078,-0.734713049
-0.845264672,-1.127783952,-3.31795031,-0.813657105
-0.195590993,-0.972778784,-2.559044901,0.255465808
0.1371567071,-0.917092598,-2.17201378,0.5696392646
0.3164820697,-0.702459119,-1.991542557,0.3242543856
-0.089402824,-1.015719478,-2.415377369,0.2976374953
-0.730179326,-1.102680642,-3.167295191,-0.876218791
0.1387705307,-0.756147653,-2.222473992,0.2011628293
-0.269155024,-0.875783894,-2.6762257,-0.240723095
0.1687073053,-0.940708727,-2.103070017,0.5591632809
0.4412716192,-0.645132596,-1.799252454,0.3551066742
0.3604900467,-0.833571421,-1.843854447,0.6183688421
0.4347486806,-0.610082816,-1.815204687,0.3476046372
0.2080867466,-0.689602135,-2.081994021,0.1063228331
0.5710577184,-0.429019908,-1.633606397,0.3062780352
-0.134796997,-0.45591427,-2.558102722,-0.324739207
0.3211400427,-0.463190852,-1.96808635,0.1044947936
0.11252737,-0.331409243,-2.281985892,-0.015181923
1.0047871631,-0.162600596,-1.063862756,0.7172955793
0.6289044512,-0.323570606,-1.600191066,0.3743092778
0.7821869981,-0.28137334,-1.425849199,0.5776377243
-0.169505406,-0.510682757,-2.581646516,-0.473192328
-0.733608579,-1.271686296,-3.096538104,-0.226324726
-0.321470944,-0.971983449,-2.751412357,-0.300888156
0.1398144901,-0.907192458,-2.158108982,0.5629055225
0.3148170432,-0.649943225,-1.989035856,0.3013319243
-0.557325223,-0.989160806,-3.014968566,-0.555323128
0.0162774569,-0.903609125,-2.289070264,0.4147144032
-0.693797539,-1.073384283,-3.122847547,-0.867053241
0.103550967,-0.920707704,-2.137972737,0.4188557474
0.1293081725,-0.558143502,-2.208335942,0.0421145306
0.1559726323,-0.538584601,-2.177295671,0.0441874394
0.5961676184,-0.486179734,-1.591014831,0.4213563413
-0.119425621,-0.696061377,-2.491093985,-0.282226378
0.3210144622,-0.523482708,-1.955288856,0.0341107577
0.1915025269,-0.582307011,-2.099569236,-0.058357615
0.4482167185,-0.787718312,-1.762790564,0.7724895561
-0.043356602,-0.96329328,-2.366085141,0.3767489233
0.4245614556,-0.799707803,-1.777685638,0.6918181878
0.0928195012,-0.797590241,-2.207726045,0.4482005058
0.5901823468,-0.472937372,-1.607702874,0.496183394
0.5801301024,-0.510243708,-1.572822559,0.3797754908
0.2456229647,-0.873663681,-2.015946749,0.5387352793
0.243428918,-0.854467395,-2.030724014,0.5983504079
0.3709364832,-0.843546431,-1.830553514,0.623874511
-0.229975491,-0.920784846,-2.646553567,-0.204472632
0.1379642363,-0.677622475,-2.27363755,0.221788476
-0.041019461,-0.709753535,-2.334353817,-0.419504501
-0.244717043,-0.862496406,-2.70525768,-0.147266605
0.4591726521,-0.622732669,-1.693939329,0.1051284839
0.0645005646,-0.789966194,-2.173232079,-0.403009834
0.1321567341,-0.88718436,-2.166741921,0.5211266333
0.6057317202,-0.768146573,-1.553774372,0.8224122861
-0.862946634,-1.168317096,-3.262222111,-0.257194167
0.3681574896,-0.802551684,-1.84597634,0.5997909203
0.5853634832,-0.009223881,-1.930715854,0.5646758755
0.3000377954,-0.672734386,-2.060377722,0.4333334909
0.0179731122,-0.765165899,-2.359476121,0.0888513483
